id,value
id_0,5.740598629
id_1,14.57536505
id_2,20.49286615
id_3,7.939595823
id_4,23.82622464
id_5,19.25561718
id_6,21.60035254
id_7,25.96908188
id_8,14.95686175
id_9,49.43562908
id_10,11.47245466
id_11,11.18775237
id_12,52.75279602
id_13,44.8891128
id_14,21.08907113
id_15,12.90460038
id_16,26.65441154
id_17,55.04678581
id_18,3.673619069
id_19,17.50038149
id_20,34.91488726
id_21,57.88378201
id_22,8.664160666
id_23,16.29849671
id_24,13.67097459
id_25,33.81665186
id_26,14.35352472
id_27,64.176201
id_28,8.440733474
id_29,44.02948075
id_30,18.46062688
id_31,10.56375311
id_32,1.877085735
id_33,17.28969709
id_34,24.99328601
id_35,32.11978262
id_36,35.93744784
id_37,26.55470537
id_38,32.64880612
id_39,31.2939839
id_40,6.936567316
id_41,32.94438503
id_42,28.8308731
id_43,41.27238618
id_44,14.49179041
id_45,31.52062188
id_46,21.97694311
id_47,12.25348798
id_48,23.18602727
id_49,28.60974297
id_50,15.11336962
id_51,6.192247912
id_52,23.2137666
id_53,41.40417598
id_54,13.79438517
id_55,30.9222897
id_56,30.58451255
id_57,19.43266794
id_58,51.03077082
id_59,19.42817328
id_60,11.22141063
id_61,36.97052549
id_62,14.5486815
id_63,42.40683266
id_64,13.39174329
id_65,16.31893572
id_66,12.99325558
id_67,3.691087696
id_68,37.11842842
id_69,25.45101218
id_70,18.59756462
id_71,34.49345621
id_72,51.30992877
id_73,5.888615231
id_74,14.34796148
id_75,5.347428845
id_76,33.01021979
id_77,13.53163874
id_78,20.07462963
id_79,17.58276739
id_80,18.87124402
id_81,25.86884706
id_82,17.39517263
id_83,75.75415465
id_84,30.44241393
id_85,24.55029319
id_86,19.29322555
id_87,30.02065187
id_88,19.42233955
id_89,18.32556993
id_90,25.18743173
id_91,33.49398003
id_92,4.867658786
id_93,32.65066462
id_94,37.2281434
id_95,13.81299014
id_96,23.71305084
id_97,14.11338059
id_98,22.56719106
id_99,4.181533171
id_100,15.77567607
id_101,23.54601535
id_102,15.6988806
id_103,16.11367332
id_104,20.0100666
id_105,35.25332843
id_106,23.92025545
id_107,9.031978621
id_108,9.604347586
id_109,63.44920525
id_110,38.84159454
id_111,15.49170626
id_112,24.17666945
id_113,14.30519815
id_114,12.03350971
id_115,23.35068306
id_116,24.16138492
id_117,8.274438018
id_118,16.84034943
id_119,16.89806295
id_120,57.38414096
id_121,19.41770734
id_122,30.14118035
id_123,22.00583287
id_124,8.274920411
id_125,34.79924305
id_126,8.107031952
id_127,18.36553894
id_128,24.80257577
id_129,50.38320207
id_130,19.09136664
id_131,23.01695657
id_132,48.45669765
id_133,15.80974804
id_134,10.81168994
id_135,4.234745415
id_136,12.53119335
id_137,48.78644769
id_138,11.92527904
id_139,7.960171381
id_140,24.32693283
id_141,23.35746067
id_142,36.8076893
id_143,25.16330667
id_144,16.784847
id_145,23.15692391
id_146,10.5098396
id_147,43.56709719
id_148,17.50053394
id_149,33.38344006
id_150,12.27826492
id_151,8.550385073
id_152,21.73145306
id_153,8.918906995
id_154,15.86055197
id_155,33.01542509
id_156,8.23656003
id_157,29.03284742
id_158,9.674285544
id_159,16.45021251
id_160,33.65799058
id_161,17.71916215
id_162,13.79168661
id_163,7.871270206
id_164,39.82411359
id_165,24.19680446
id_166,4.996063193
id_167,13.50203032
id_168,50.50406454
id_169,11.88401842
id_170,50.84343062
id_171,31.89558298
id_172,25.41247534
id_173,17.3451364
id_174,48.02172061
id_175,18.409572
id_176,20.4957108
id_177,30.50024565
id_178,10.69713114
id_179,28.27017605
id_180,14.73601074
id_181,10.7677203
id_182,42.36115531
id_183,42.59406281
id_184,14.42448237
id_185,25.93474915
id_186,20.74994868
id_187,56.52237217
id_188,9.963059994
id_189,45.08401221
id_190,34.8400772
id_191,15.49929961
id_192,24.26800445
id_193,2.91342428
id_194,18.22091569
id_195,3.130191606
id_196,31.50592798
id_197,11.22088422
id_198,17.72375335
id_199,52.70947873
id_200,23.49280313
id_201,23.43638616
id_202,53.0299331
id_203,10.90088604
id_204,9.946288723
id_205,11.51026496
id_206,7.152888896
id_207,3.903188612
id_208,102.1191284
id_209,17.67655381
id_210,13.78957179
id_211,13.31998456
id_212,31.14953258
id_213,31.45506849
id_214,19.98628814
id_215,28.11550338
id_216,67.08145445
id_217,2.836866602
id_218,13.06119052
id_219,26.68174446
id_220,15.07503988
id_221,12.67962066
id_222,95.80722321
id_223,11.85116092
id_224,14.97983196
id_225,45.66660237
id_226,12.47541879
id_227,19.0382477
id_228,9.787088488
id_229,6.837051774
id_230,37.0674726
id_231,11.75188179
id_232,45.52776055
id_233,34.22349801
id_234,18.74217445
id_235,37.75733164
id_236,59.01554783
id_237,36.40352785
id_238,2.853721208
id_239,16.93687352
